date,index_name,ticker,data_source,close_level
2021-06-09,WIG20,WIG20,Stooq,2218.45
2021-06-10,WIG20,WIG20,Stooq,2236.89
2021-06-11,WIG20,WIG20,Stooq,2224.67
2021-06-14,WIG20,WIG20,Stooq,2253.2
2021-06-15,WIG20,WIG20,Stooq,2230.37
2021-06-16,WIG20,WIG20,Stooq,2225.27
2021-06-17,WIG20,WIG20,Stooq,2211.58
2021-06-18,WIG20,WIG20,Stooq,2220.68
2021-06-21,WIG20,WIG20,Stooq,2219.45
2021-06-22,WIG20,WIG20,Stooq,2220.53
2021-06-23,WIG20,WIG20,Stooq,2233.7
2021-06-24,WIG20,WIG20,Stooq,2273.11
2021-06-25,WIG20,WIG20,Stooq,2282.46
2021-06-28,WIG20,WIG20,Stooq,2285.81
2021-06-29,WIG20,WIG20,Stooq,2258.24
2021-06-30,WIG20,WIG20,Stooq,2218.41
2021-07-01,WIG20,WIG20,Stooq,2250.58
2021-07-02,WIG20,WIG20,Stooq,2252.18
2021-07-05,WIG20,WIG20,Stooq,2258.82
2021-07-06,WIG20,WIG20,Stooq,2228.46
2021-07-07,WIG20,WIG20,Stooq,2285.79
2021-07-08,WIG20,WIG20,Stooq,2234.6
2021-07-09,WIG20,WIG20,Stooq,2251.78
2021-07-12,WIG20,WIG20,Stooq,2255.48
2021-07-13,WIG20,WIG20,Stooq,2264.26
2021-07-14,WIG20,WIG20,Stooq,2268.57
2021-07-15,WIG20,WIG20,Stooq,2260.49
2021-07-16,WIG20,WIG20,Stooq,2258.1
2021-07-19,WIG20,WIG20,Stooq,2205.86
2021-07-20,WIG20,WIG20,Stooq,2221.28
2021-07-21,WIG20,WIG20,Stooq,2241.97
2021-07-22,WIG20,WIG20,Stooq,2229.86
2021-07-23,WIG20,WIG20,Stooq,2242.41
2021-07-26,WIG20,WIG20,Stooq,2240.65
2021-07-27,WIG20,WIG20,Stooq,2224.59
2021-07-28,WIG20,WIG20,Stooq,2245.76
2021-07-29,WIG20,WIG20,Stooq,2265.69
2021-07-30,WIG20,WIG20,Stooq,2253.45
2021-08-02,WIG20,WIG20,Stooq,2253.28
2021-08-03,WIG20,WIG20,Stooq,2257.73
2021-08-04,WIG20,WIG20,Stooq,2272.09
2021-08-05,WIG20,WIG20,Stooq,2270.67
2021-08-06,WIG20,WIG20,Stooq,2273.89
2021-08-09,WIG20,WIG20,Stooq,2274.48
2021-08-10,WIG20,WIG20,Stooq,2277.23
2021-08-11,WIG20,WIG20,Stooq,2283.69
2021-08-12,WIG20,WIG20,Stooq,2297.72
2021-08-13,WIG20,WIG20,Stooq,2302.03
2021-08-16,WIG20,WIG20,Stooq,2282.1
2021-08-17,WIG20,WIG20,Stooq,2300.04
2021-08-18,WIG20,WIG20,Stooq,2284.97
2021-08-19,WIG20,WIG20,Stooq,2260.02
2021-08-20,WIG20,WIG20,Stooq,2255.56
2021-08-23,WIG20,WIG20,Stooq,2287.52
2021-08-24,WIG20,WIG20,Stooq,2300.9
2021-08-25,WIG20,WIG20,Stooq,2325.19
2021-08-26,WIG20,WIG20,Stooq,2309.44
2021-08-27,WIG20,WIG20,Stooq,2323.77
