date,index_name,ticker,data_source,close_level
2021-06-10,FTSE_100,^FTSE,Yahoo Finance,7088.2001953125
2021-06-11,FTSE_100,^FTSE,Yahoo Finance,7134.10009765625
2021-06-14,FTSE_100,^FTSE,Yahoo Finance,7146.7001953125
2021-06-15,FTSE_100,^FTSE,Yahoo Finance,7172.5
2021-06-16,FTSE_100,^FTSE,Yahoo Finance,7185.0
2021-06-17,FTSE_100,^FTSE,Yahoo Finance,7153.39990234375
2021-06-18,FTSE_100,^FTSE,Yahoo Finance,7017.5
2021-06-21,FTSE_100,^FTSE,Yahoo Finance,7062.2998046875
2021-06-22,FTSE_100,^FTSE,Yahoo Finance,7090.0
2021-06-23,FTSE_100,^FTSE,Yahoo Finance,7074.10009765625
2021-06-24,FTSE_100,^FTSE,Yahoo Finance,7110.0
2021-06-25,FTSE_100,^FTSE,Yahoo Finance,7136.10009765625
2021-06-28,FTSE_100,^FTSE,Yahoo Finance,7073.0
2021-06-29,FTSE_100,^FTSE,Yahoo Finance,7087.60009765625
2021-06-30,FTSE_100,^FTSE,Yahoo Finance,7037.5
2021-07-01,FTSE_100,^FTSE,Yahoo Finance,7125.2001953125
2021-07-02,FTSE_100,^FTSE,Yahoo Finance,7123.2998046875
2021-07-05,FTSE_100,^FTSE,Yahoo Finance,7164.89990234375
2021-07-06,FTSE_100,^FTSE,Yahoo Finance,7100.89990234375
2021-07-07,FTSE_100,^FTSE,Yahoo Finance,7151.0
2021-07-08,FTSE_100,^FTSE,Yahoo Finance,7030.7001953125
2021-07-09,FTSE_100,^FTSE,Yahoo Finance,7121.89990234375
2021-07-12,FTSE_100,^FTSE,Yahoo Finance,7125.39990234375
2021-07-13,FTSE_100,^FTSE,Yahoo Finance,7124.7001953125
2021-07-14,FTSE_100,^FTSE,Yahoo Finance,7091.2001953125
2021-07-15,FTSE_100,^FTSE,Yahoo Finance,7012.0
2021-07-16,FTSE_100,^FTSE,Yahoo Finance,7008.10009765625
2021-07-19,FTSE_100,^FTSE,Yahoo Finance,6844.39990234375
2021-07-20,FTSE_100,^FTSE,Yahoo Finance,6881.10009765625
2021-07-21,FTSE_100,^FTSE,Yahoo Finance,6998.2998046875
2021-07-22,FTSE_100,^FTSE,Yahoo Finance,6968.2998046875
2021-07-23,FTSE_100,^FTSE,Yahoo Finance,7027.60009765625
2021-07-26,FTSE_100,^FTSE,Yahoo Finance,7025.39990234375
2021-07-27,FTSE_100,^FTSE,Yahoo Finance,6996.10009765625
2021-07-28,FTSE_100,^FTSE,Yahoo Finance,7016.60009765625
2021-07-29,FTSE_100,^FTSE,Yahoo Finance,7078.39990234375
2021-07-30,FTSE_100,^FTSE,Yahoo Finance,7032.2998046875
2021-08-02,FTSE_100,^FTSE,Yahoo Finance,7081.7001953125
2021-08-03,FTSE_100,^FTSE,Yahoo Finance,7105.7001953125
2021-08-04,FTSE_100,^FTSE,Yahoo Finance,7123.89990234375
2021-08-05,FTSE_100,^FTSE,Yahoo Finance,7120.39990234375
2021-08-06,FTSE_100,^FTSE,Yahoo Finance,7123.0
2021-08-09,FTSE_100,^FTSE,Yahoo Finance,7132.2998046875
2021-08-10,FTSE_100,^FTSE,Yahoo Finance,7161.0
2021-08-11,FTSE_100,^FTSE,Yahoo Finance,7220.10009765625
2021-08-12,FTSE_100,^FTSE,Yahoo Finance,7193.2001953125
2021-08-13,FTSE_100,^FTSE,Yahoo Finance,7218.7001953125
2021-08-16,FTSE_100,^FTSE,Yahoo Finance,7154.0
2021-08-17,FTSE_100,^FTSE,Yahoo Finance,7181.10009765625
2021-08-18,FTSE_100,^FTSE,Yahoo Finance,7169.2998046875
2021-08-19,FTSE_100,^FTSE,Yahoo Finance,7058.89990234375
2021-08-20,FTSE_100,^FTSE,Yahoo Finance,7087.89990234375
2021-08-23,FTSE_100,^FTSE,Yahoo Finance,7109.0
2021-08-24,FTSE_100,^FTSE,Yahoo Finance,7125.7998046875
2021-08-25,FTSE_100,^FTSE,Yahoo Finance,7150.10009765625
2021-08-26,FTSE_100,^FTSE,Yahoo Finance,7125.0
2021-08-27,FTSE_100,^FTSE,Yahoo Finance,7148.0
2021-08-31,FTSE_100,^FTSE,Yahoo Finance,7119.7001953125
2021-09-01,FTSE_100,^FTSE,Yahoo Finance,7149.7998046875
2021-09-02,FTSE_100,^FTSE,Yahoo Finance,7163.89990234375
2021-09-03,FTSE_100,^FTSE,Yahoo Finance,7138.39990234375
2021-09-06,FTSE_100,^FTSE,Yahoo Finance,7187.2001953125
2021-09-07,FTSE_100,^FTSE,Yahoo Finance,7149.39990234375
2021-09-08,FTSE_100,^FTSE,Yahoo Finance,7095.5
2021-09-09,FTSE_100,^FTSE,Yahoo Finance,7024.2001953125
2021-09-10,FTSE_100,^FTSE,Yahoo Finance,7029.2001953125
2021-09-13,FTSE_100,^FTSE,Yahoo Finance,7068.39990234375
2021-09-14,FTSE_100,^FTSE,Yahoo Finance,7034.10009765625
2021-09-15,FTSE_100,^FTSE,Yahoo Finance,7016.5
2021-09-16,FTSE_100,^FTSE,Yahoo Finance,7027.5
2021-09-17,FTSE_100,^FTSE,Yahoo Finance,6963.60009765625
2021-09-20,FTSE_100,^FTSE,Yahoo Finance,6903.89990234375
2021-09-21,FTSE_100,^FTSE,Yahoo Finance,6981.0
2021-09-22,FTSE_100,^FTSE,Yahoo Finance,7083.39990234375
2021-09-23,FTSE_100,^FTSE,Yahoo Finance,7078.39990234375
2021-09-24,FTSE_100,^FTSE,Yahoo Finance,7051.5
2021-09-27,FTSE_100,^FTSE,Yahoo Finance,7063.39990234375
2021-09-28,FTSE_100,^FTSE,Yahoo Finance,7028.10009765625
2021-09-29,FTSE_100,^FTSE,Yahoo Finance,7108.2001953125
2021-09-30,FTSE_100,^FTSE,Yahoo Finance,7086.39990234375
2021-10-01,FTSE_100,^FTSE,Yahoo Finance,7027.10009765625
2021-10-04,FTSE_100,^FTSE,Yahoo Finance,7011.0
2021-10-05,FTSE_100,^FTSE,Yahoo Finance,7077.10009765625
2021-10-06,FTSE_100,^FTSE,Yahoo Finance,6995.89990234375
2021-10-07,FTSE_100,^FTSE,Yahoo Finance,7078.0
2021-10-08,FTSE_100,^FTSE,Yahoo Finance,7095.60009765625
2021-10-11,FTSE_100,^FTSE,Yahoo Finance,7146.89990234375
2021-10-12,FTSE_100,^FTSE,Yahoo Finance,7130.2001953125
2021-10-13,FTSE_100,^FTSE,Yahoo Finance,7141.7998046875
2021-10-14,FTSE_100,^FTSE,Yahoo Finance,7207.7001953125
2021-10-15,FTSE_100,^FTSE,Yahoo Finance,7234.0
2021-10-18,FTSE_100,^FTSE,Yahoo Finance,7203.7998046875
2021-10-19,FTSE_100,^FTSE,Yahoo Finance,7217.5
2021-10-20,FTSE_100,^FTSE,Yahoo Finance,7223.10009765625
2021-10-21,FTSE_100,^FTSE,Yahoo Finance,7190.2998046875
2021-10-22,FTSE_100,^FTSE,Yahoo Finance,7204.60009765625
2021-10-25,FTSE_100,^FTSE,Yahoo Finance,7222.7998046875
2021-10-26,FTSE_100,^FTSE,Yahoo Finance,7277.60009765625
2021-10-27,FTSE_100,^FTSE,Yahoo Finance,7253.2998046875
2021-10-28,FTSE_100,^FTSE,Yahoo Finance,7249.5
2021-10-29,FTSE_100,^FTSE,Yahoo Finance,7237.60009765625
2021-11-01,FTSE_100,^FTSE,Yahoo Finance,7288.60009765625
2021-11-02,FTSE_100,^FTSE,Yahoo Finance,7274.7998046875
2021-11-03,FTSE_100,^FTSE,Yahoo Finance,7248.89990234375
2021-11-04,FTSE_100,^FTSE,Yahoo Finance,7279.89990234375
2021-11-05,FTSE_100,^FTSE,Yahoo Finance,7304.0
2021-11-08,FTSE_100,^FTSE,Yahoo Finance,7300.39990234375
2021-11-09,FTSE_100,^FTSE,Yahoo Finance,7274.0
2021-11-10,FTSE_100,^FTSE,Yahoo Finance,7340.2001953125
2021-11-11,FTSE_100,^FTSE,Yahoo Finance,7384.2001953125
2021-11-12,FTSE_100,^FTSE,Yahoo Finance,7347.89990234375
2021-11-15,FTSE_100,^FTSE,Yahoo Finance,7351.89990234375
2021-11-16,FTSE_100,^FTSE,Yahoo Finance,7327.0
2021-11-17,FTSE_100,^FTSE,Yahoo Finance,7291.2001953125
2021-11-18,FTSE_100,^FTSE,Yahoo Finance,7256.0
2021-11-19,FTSE_100,^FTSE,Yahoo Finance,7223.60009765625
2021-11-22,FTSE_100,^FTSE,Yahoo Finance,7255.5
2021-11-23,FTSE_100,^FTSE,Yahoo Finance,7266.7001953125
2021-11-24,FTSE_100,^FTSE,Yahoo Finance,7286.2998046875
2021-11-25,FTSE_100,^FTSE,Yahoo Finance,7310.39990234375
2021-11-26,FTSE_100,^FTSE,Yahoo Finance,7044.0
2021-11-29,FTSE_100,^FTSE,Yahoo Finance,7110.0
2021-11-30,FTSE_100,^FTSE,Yahoo Finance,7059.5
2021-12-01,FTSE_100,^FTSE,Yahoo Finance,7168.7001953125
2021-12-02,FTSE_100,^FTSE,Yahoo Finance,7129.2001953125
2021-12-03,FTSE_100,^FTSE,Yahoo Finance,7122.2998046875
2021-12-06,FTSE_100,^FTSE,Yahoo Finance,7232.2998046875
2021-12-07,FTSE_100,^FTSE,Yahoo Finance,7339.89990234375
2021-12-08,FTSE_100,^FTSE,Yahoo Finance,7337.39990234375
2021-12-09,FTSE_100,^FTSE,Yahoo Finance,7321.2998046875
2021-12-10,FTSE_100,^FTSE,Yahoo Finance,7291.7998046875
2021-12-13,FTSE_100,^FTSE,Yahoo Finance,7231.39990234375
2021-12-14,FTSE_100,^FTSE,Yahoo Finance,7218.60009765625
2021-12-15,FTSE_100,^FTSE,Yahoo Finance,7170.7998046875
2021-12-16,FTSE_100,^FTSE,Yahoo Finance,7260.60009765625
2021-12-17,FTSE_100,^FTSE,Yahoo Finance,7269.89990234375
2021-12-20,FTSE_100,^FTSE,Yahoo Finance,7198.0
2021-12-21,FTSE_100,^FTSE,Yahoo Finance,7297.39990234375
2021-12-22,FTSE_100,^FTSE,Yahoo Finance,7341.7001953125
2021-12-23,FTSE_100,^FTSE,Yahoo Finance,7373.2998046875
2021-12-24,FTSE_100,^FTSE,Yahoo Finance,7372.10009765625
2021-12-29,FTSE_100,^FTSE,Yahoo Finance,7420.7001953125
2021-12-30,FTSE_100,^FTSE,Yahoo Finance,7403.0
2021-12-31,FTSE_100,^FTSE,Yahoo Finance,7384.5
2022-01-04,FTSE_100,^FTSE,Yahoo Finance,7505.2001953125
2022-01-05,FTSE_100,^FTSE,Yahoo Finance,7516.89990234375
2022-01-06,FTSE_100,^FTSE,Yahoo Finance,7450.39990234375
2022-01-07,FTSE_100,^FTSE,Yahoo Finance,7485.2998046875
2022-01-10,FTSE_100,^FTSE,Yahoo Finance,7445.2998046875
2022-01-11,FTSE_100,^FTSE,Yahoo Finance,7491.39990234375
2022-01-12,FTSE_100,^FTSE,Yahoo Finance,7551.7001953125
2022-01-13,FTSE_100,^FTSE,Yahoo Finance,7563.89990234375
2022-01-14,FTSE_100,^FTSE,Yahoo Finance,7543.0
