date,index_name,ticker,data_source,close_level
2021-06-03,DAX,^GDAXI,Yahoo Finance,15632.669921875
2021-06-04,DAX,^GDAXI,Yahoo Finance,15692.900390625
2021-06-07,DAX,^GDAXI,Yahoo Finance,15677.150390625
2021-06-08,DAX,^GDAXI,Yahoo Finance,15640.599609375
2021-06-09,DAX,^GDAXI,Yahoo Finance,15581.1396484375
2021-06-10,DAX,^GDAXI,Yahoo Finance,15571.2197265625
2021-06-11,DAX,^GDAXI,Yahoo Finance,15693.26953125
2021-06-14,DAX,^GDAXI,Yahoo Finance,15673.6396484375
2021-06-15,DAX,^GDAXI,Yahoo Finance,15729.51953125
2021-06-16,DAX,^GDAXI,Yahoo Finance,15710.5703125
2021-06-17,DAX,^GDAXI,Yahoo Finance,15727.669921875
2021-06-18,DAX,^GDAXI,Yahoo Finance,15448.0400390625
2021-06-21,DAX,^GDAXI,Yahoo Finance,15603.240234375
2021-06-22,DAX,^GDAXI,Yahoo Finance,15636.330078125
2021-06-23,DAX,^GDAXI,Yahoo Finance,15456.3896484375
2021-06-24,DAX,^GDAXI,Yahoo Finance,15589.23046875
2021-06-25,DAX,^GDAXI,Yahoo Finance,15607.9697265625
2021-06-28,DAX,^GDAXI,Yahoo Finance,15554.1796875
2021-06-29,DAX,^GDAXI,Yahoo Finance,15690.58984375
2021-06-30,DAX,^GDAXI,Yahoo Finance,15531.0400390625
2021-07-01,DAX,^GDAXI,Yahoo Finance,15603.8095703125
2021-07-02,DAX,^GDAXI,Yahoo Finance,15650.08984375
2021-07-05,DAX,^GDAXI,Yahoo Finance,15661.9697265625
2021-07-06,DAX,^GDAXI,Yahoo Finance,15511.3798828125
2021-07-07,DAX,^GDAXI,Yahoo Finance,15692.7099609375
2021-07-08,DAX,^GDAXI,Yahoo Finance,15420.6396484375
2021-07-09,DAX,^GDAXI,Yahoo Finance,15687.9296875
2021-07-12,DAX,^GDAXI,Yahoo Finance,15790.509765625
2021-07-13,DAX,^GDAXI,Yahoo Finance,15789.6396484375
2021-07-14,DAX,^GDAXI,Yahoo Finance,15788.98046875
2021-07-15,DAX,^GDAXI,Yahoo Finance,15629.66015625
2021-07-16,DAX,^GDAXI,Yahoo Finance,15540.3095703125
2021-07-19,DAX,^GDAXI,Yahoo Finance,15133.2001953125
2021-07-20,DAX,^GDAXI,Yahoo Finance,15216.26953125
2021-07-21,DAX,^GDAXI,Yahoo Finance,15422.5
2021-07-22,DAX,^GDAXI,Yahoo Finance,15514.5400390625
2021-07-23,DAX,^GDAXI,Yahoo Finance,15669.2900390625
2021-07-26,DAX,^GDAXI,Yahoo Finance,15618.98046875
2021-07-27,DAX,^GDAXI,Yahoo Finance,15519.1298828125
2021-07-28,DAX,^GDAXI,Yahoo Finance,15570.3603515625
2021-07-29,DAX,^GDAXI,Yahoo Finance,15640.4697265625
2021-07-30,DAX,^GDAXI,Yahoo Finance,15544.3896484375
2021-08-02,DAX,^GDAXI,Yahoo Finance,15568.73046875
2021-08-03,DAX,^GDAXI,Yahoo Finance,15555.080078125
2021-08-04,DAX,^GDAXI,Yahoo Finance,15692.1298828125
2021-08-05,DAX,^GDAXI,Yahoo Finance,15744.669921875
2021-08-06,DAX,^GDAXI,Yahoo Finance,15761.4501953125
2021-08-09,DAX,^GDAXI,Yahoo Finance,15745.41015625
2021-08-10,DAX,^GDAXI,Yahoo Finance,15770.7099609375
2021-08-11,DAX,^GDAXI,Yahoo Finance,15826.08984375
2021-08-12,DAX,^GDAXI,Yahoo Finance,15937.509765625
2021-08-13,DAX,^GDAXI,Yahoo Finance,15977.4404296875
2021-08-16,DAX,^GDAXI,Yahoo Finance,15925.73046875
2021-08-17,DAX,^GDAXI,Yahoo Finance,15921.9501953125
2021-08-18,DAX,^GDAXI,Yahoo Finance,15965.9697265625
2021-08-19,DAX,^GDAXI,Yahoo Finance,15765.8095703125
2021-08-20,DAX,^GDAXI,Yahoo Finance,15808.0400390625
2021-08-23,DAX,^GDAXI,Yahoo Finance,15852.7900390625
2021-08-24,DAX,^GDAXI,Yahoo Finance,15905.849609375
2021-08-25,DAX,^GDAXI,Yahoo Finance,15860.66015625
2021-08-26,DAX,^GDAXI,Yahoo Finance,15793.6201171875
2021-08-27,DAX,^GDAXI,Yahoo Finance,15851.75
2021-08-30,DAX,^GDAXI,Yahoo Finance,15887.3095703125
2021-08-31,DAX,^GDAXI,Yahoo Finance,15835.08984375
2021-09-01,DAX,^GDAXI,Yahoo Finance,15824.2900390625
2021-09-02,DAX,^GDAXI,Yahoo Finance,15840.58984375
2021-09-03,DAX,^GDAXI,Yahoo Finance,15781.2001953125
